Name,Curators Note,Dietary Preference,Link,Must Try,Recommended Time,Tags,Ticket Price,Timings,Trivia
Ranganthittu Bird Scantuary,"It’s like jurassic park on a small boat if you go in the right season. I love going here early morning to do some photography. The birds are huge. You can see them up close. They also have huge crocodiles. If you are lucky, you can see a kill. PLEASE DO NOT LITTER!",,"https://www.google.com/maps/place/Ranganathittu+Bird+Sanctuary/@12.4243603,76.6563492,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7777dd032e0b:0xdfd27aad93e2bc43!8m2!3d12.4243603!4d76.6563492!16zL20vMDhfbXoz?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,"6:30 in the morning. Jan to June. ",Around the city,₹100 for common boating. 2000 for private boat. Camera charges are extra.,6:30 am–5:30 pm,"Ranganathittu exists purely by accident. Back between 1645-1648, King Kanteerava Narasimharaja Wadiyar built a dam (embankment) across the Kaveri River. Nobody planned on creating a bird sanctuary. The dam just created these islands, and birds decided ""hey, this looks nice"" and started nesting. Originally there were 25 islets - now only 6 remain. The real hero of Ranganathittu is Dr. Salim Ali - India's ""Birdman."" In 1939-40, he surveyed the area and was blown away by what he saw. He literally convinced the Maharaja of Mysore (Krishnaraja Wodeyar IV) to declare it a protected sanctuary on July 1st, 1940. Without Salim Ali's persistence, this could've just been another stretch of river with some birds. They also call it ‘Pakshi (bird in Kannada) Kashi’ as in its like Kashi for avian life. The sanctuary is named after Sri Ranganatha Swamy Temple nearby.  Ranganathittu has the largest freshwater crocodile population in Karnataka. These are Mugger crocodiles (Marsh crocodiles), and there are 80-100 of them lounging around the islands. Growing in the sanctuary is Iphigenia mysorensis - an endemic and threatened lily species from the Colchicaceae family. Ranganathittu is home to roughly 170 recorded bird species, and during peak winter season (mid-December through February), this place transforms into an absolute avian carnival with up to 40,000 birds packed onto these tiny islands. The regulars who breed here year-round include Painted Storks, Asian Openbill Storks, Black-headed Ibis, Spot-billed Pelicans, Oriental Darters, Cormorants, and various Egrets and Herons. But the real magic happens when the winter migrants arrive from halfway across the world - birds flying in from Siberia, Latin America, North America, and Australia to nest and breed in this little pocket of Mysore. Over 30 species of migratory birds show up between January and February, treating the sanctuary like their annual vacation home. About 50 Spot-billed Pelicans have gotten so comfortable here they've just decided to stay permanently - and good for them, because these guys are ""Near Threatened"" globally and Ranganathittu is actually helping their population recover."
KRS Dam,I like the dam a lot but I don’t like the garden as much because its too crowded and people litter.,,"https://www.google.com/maps/place/Krs+dam/@12.4250264,76.5686086,16z/data=!4m6!3m5!1s0x3baf79a277a6da31:0x382ef719a914ee77!8m2!3d12.4254763!4d76.5724381!16s%2Fg%2F11hzv09n0h?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,Early morning there are no people at the park. Evening if you wanna catch the music show (i don’t think its worth it). Don’t visit during the summer when the kids have holidays its gets super crowded.,Around the city,I think its a ₹100 + toll. Take cash.,6:30 am - 9:00 pm,"KRS Dam exists because of a tragedy. In 1875-76, a brutal drought wiped out one-fifth of the population of the Kingdom of Mysore. Crop failures were constant, and people were migrating away from Mysore and Mandya districts every hot summer. The Kaveri River was identified as a potential source of irrigation water for the region. Chief Engineer Sir M. Visvesvaraya, also known as the ""Father of Modern Mysore"" , proposed building a dam across the river near Kannambadi village to provide irrigation, drinking water, and power supply to the Shivanasamudra hydroelectric station. The Finance Ministry of Mysore opposed the project, claiming it would ""serve no purpose"" and that electricity demand was insufficient. Visvesvaraya approached Diwan T. Ananda Rao and Maharaja Krishna Raja Wadiyar IV. On October 11, 1911, the Maharaja approved the project and allocated ₹81 lakhs for construction. The Madras Presidency opposed the project and urged the imperial government to reject it, but Visvesvaraya's persuasion succeeded. Krishna Raja Wadiyar IV laid the foundation stone. Construction began with 10,000 workers employed. The dam was built using surki mortar (a mixture of lime and brick powder) instead of cement, as cement was not manufactured in India and importing would be costly. The structure measured 2,621 meters (8,600 feet) in length and 130.80 feet in height above the riverbed. Sir M. Visvesvaraya installed 48 automated crest gates in 6 sets - the first dam in the world to feature such technology. Dewan Sir Mirza Ismail planned and built Brindavan Gardens at the dam site, inspired by Kashmir's Shalimar Gardens and designed in Mughal style. German botanist Gustav Hermann Krumbiegel (who designed the mysore zoo gardens and lalbhag in bangalore) designed the 60-acre terraced garden with fountains, lawns, and flower beds. The dam was completed between 1931-1932 at a total cost of ₹2.5 crore. The Kannambadi village and Kanveshvara Temple were submerged when the reservoir filled.  The Krishna Raja Sagara Dam was inaugurated with a capacity of 49.45 TMC feet at maximum water level of 124.80 feet. The dam began supplying water for irrigation to Mysore and Mandya districts, drinking water to Mysore city, and power to Shivanasamudra hydroelectric station. Water supply from KRS was gradually extended. The dam became the main drinking water source for Mysore, Mandya, and eventually most of Bangalore city. Water released from KRS began flowing to Tamil Nadu, stored in Mettur Dam (we fight about this a lot). "
Lalith Mahal Palace,It’s a nice place to watch the sunset. The big balcony on top under the big dome has a beautiful view of Chamudi Hills and the summer palace on top of the hill. Lots of beautiful paintings to look at. Also has a lot of history on the halls.,"Veg, non veg","https://www.google.com/maps/place/Lalitha+Mahal+Palace+Hotel/@12.2982956,76.6926105,17z/data=!4m10!3m9!1s0x3baf7005079c2ff5:0xc796fc64f4676317!5m3!1s2025-12-06!4m1!1i2!8m2!3d12.2982956!4d76.6926105!16zL20vMDgyeWZt?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",Have a coffee at the hotel.,4pm - 6pm,"Around the city, Stays",,,"Lalitha Mahal Palace, often called the 'Palace of the Queen of Beauty', is the second largest palace in Mysore after the Mysore Palace. It was built in 1921 by Maharaja Krishnaraja Wodeyar IV specifically to host the Governor-General of India and other important European guests. The foundation was commissioned on November 18, 1921, and construction was completed in 1930. The palace was designed by renowned architect Edwin Wolleston Fritchley from Bombay in Renaissance architectural style, with its design inspired by St. Paul's Cathedral in London, particularly the central dome, while also reflecting English manor houses and Italian palazzos. This magnificent two-storied white structure features Ionic double columns, spherical domes, and a dominating central dome. The interiors are breathtaking, with Italian marble floors and staircases, Belgian crystal chandeliers, Persian carpets, cut glass lamps, heavy ornate furniture, and decorative stained glass throughout. The palace showcases full-length portraits of the Wodeyar Kings and features a spectacular baroque ballroom with domed skylights made of Belgian glass, now converted into the hotel's dining hall. In 1974, the palace was converted into a heritage hotel. The original Otis passenger lift remains in great working condition."
Fish Land,"This one is a local favorite and well know Mangalore place in the city. This is their first branch, its right on the blr-mys highway. ",non veg,"https://www.google.com/maps/place/Poojari's+Fish+Land/@12.3778144,76.5902424,13z/data=!4m6!3m5!1s0x3baf70ca4460f8a7:0x88e3db41eaa96025!8m2!3d12.3778325!4d76.6664621!16s%2Fg%2F119wwkj7m?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",Good neer dosa and meen saaru.,Dinner,Food,,11 am – 11:30 pm,
Ramakrishna Ashram,The marble meditation room is one of favs. Its very calming and beautiful.,,"https://www.google.com/maps/place/Sri+Ramakrishna+Ashrama,+Mysore/@12.3239373,76.6347091,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7a84b29f158f:0xb2cad912d29633db!8m2!3d12.3239373!4d76.6347091!16s%2Fg%2F1tjxd2xg?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,,Around the city,,6 am – 12 pm and 3:30 pm – 8:30 pm,"It was established on June 11, 1925. The Ashrama has special significance because Swami Vivekananda visited Mysore in November 1892 during his wandering years as a monk across India. Though he was an unknown monk at the time, his extraordinary personality, erudition, and spiritual magnetism attracted the attention of distinguished men including Maharaja Chamaraja Wodeyar and Dewan Sir Sheshadri Iyer. Vivekananda initially stayed at the Niranjan Mutt (Anathalaya) on Narayana Sastri Road, which was located adjacent to the Dewan's house. The Maharaja was so delighted that he insisted Vivekananda stay in the palace itself, where he had extensive discussions on Vedanta with pundits, an Austrian musician, and the Maharaja. Crucially, it was during his stay in Mysore that Vivekananda first decided to participate in the World Parliament of Religions in Chicago in 1893, and the Maharaja readily offered to fund his travel expenses. "
Railway Museum,They have a cafe inside one of the vintage bogies. It’s cute.,,"https://www.google.com/maps/place/MYSURU+RAILWAY+MUSEUM/@12.3163393,76.643323,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7075a5dd3cd3:0x31cb5be481e0c44a!8m2!3d12.3163393!4d76.643323!16s%2Fm%2F027jsxk?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,Mornings.,Around the city,,10 am–6 pm and its closed on Tuesdays.,"The Mysore Railway Museum was established in 1979 by Indian Railways, becoming India's second railway museum after the National Railway Museum in Delhi. Its spread over 4 acres."
Chamundi Vihar Stadium,"Love running here and watching the sunset from here. They also have hockey, large swimming pool available for the public and indoor badminton courts also for the public.",,"https://www.google.com/maps/place/Chamundi+Vihaar+Stadium/@12.3119862,76.6687224,18z/data=!4m6!3m5!1s0x3baf7014c56cfd27:0x1b2e650f2a2dc796!8m2!3d12.311781!4d76.669379!16s%2Fg%2F1td0dyw5?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",Running here.,Early morning runs/workout and to watch the sunset.,Around the city,,5 am – 7 pm,
Venugopalaswamy Temple,Its a really big temple so it doesn’t get crowded. One of the best places to watch the sunset from.,,"https://www.google.com/maps/place/Sri+Venugopalaswamy+Temple/@12.4441097,76.5642263,17z/data=!4m6!3m5!1s0x3baf78bf583745ed:0x7f1788de1e8c1d14!8m2!3d12.4441045!4d76.5668012!16s%2Fm%2F0j7jrt4?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=96c41fb9-77a8-4bc3-877f-1a7459802f6e",,"Sunset. ",Around the city,,9 am – 6:30 pm,"The Venugopala Swamy Temple was built in the 12th century AD. The temple is dedicated to Lord Vishnu in his form as Venugopala, which translates to 'the flute player,' depicting Lord Vishnu as Krishna playing his iconic flute. Before the Krishna Raja Sagara dam project was conceived by M. Visvesvarayya in 1909, the temple complex was located in the village of Kannambadi. The KRS Dam project meant that Kannambadi and other surrounding settlements would be submerged. The original temple complex was massive, with an area of around 50 acres, measuring 100 by 60 yards. The then king of Mysore, Krishna Raja Wadiyar IV ordered the construction of a new village for the residents of Kannambadi and named it Hosa Kannambadi (New Kannambadi). However, the Venugopala Swamy temple complex and 2 other temples namely Kenneshwara (Ishwara) temple and Kalamma Temple had to be abandoned. By 1930, the first phase of the dam was completed and all three temples were submerged. For more than 70 years the temple lay underwater, when the Khoday Foundation took up the task of relocating and restoring the temple. The in-house architects of the group had shot the original temple on video, taken over 16,000 photographs, and marked each and every slab used in the construction of the original temple. Each and every stone was marked and numbered. They engaged masons, trained artisans and sculptors with half a dozen experts from Tamil Nadu for rebuilding the temple at Hosa Kannambadi. Damaged and missing idols were remade and replaced. The cost of the project was estimated to be around ₹2.5 crore. The new site is about one km to the north of the original site. When the KRS dam is full, the water lashes against the temple's walls on all three sides. "
MY.KA cafe,"Lovely place to hangout. Great vibe. ",Veg,"https://www.google.com/maps/place/Myka+Cafe+Mysore/@12.3319229,76.62835,17z/data=!3m1!4b1!4m10!3m9!1s0x3baf7b7c2064606f:0xd2803bdd9365f20c!5m3!1s2025-12-06!4m1!1i2!8m2!3d12.3319229!4d76.62835!16s%2Fg%2F11tfgcw593?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D","Pizzas, coffee, they also have really good smoothies.",Anytime. It’s a great place.,"Coffee, Food",,7:30 am – 11 pm,
Green Hotel Restaurant,Lovely hotel. Courtyard seating available. Beer.,non veg,"https://www.google.com/maps/place/The+Green+Hotel/@12.3222049,76.0077336,10z/data=!4m10!3m9!1s0x3baf7aed4973d287:0x63eba09c044ad97c!5m3!1s2025-12-06!4m1!1i2!8m2!3d12.3222049!4d76.6174748!16s%2Fg%2F1tc_zy9m?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,Morning for coffee and for dinner and drinks.,"Drinks, Food",,8 am - 11 pm,"You know know this. Very Om Shanti Om vibe. So, Chittaranjan Palace was built by the Maharaja of Mysore for his sister in 1916. he palace was sold to a Mysorean family who then converted it into the headquarters of a film company, ""Premier Studios"". Many films and TV shows were shot here.The building was used as a private residence until it was converted into a hotel, called ""Green Hotel"" in the 1970s. In 1990 during the shooting of the television drama ""The Sword of Tipu Sultan"" directed by Sanjay Khan and Akbar Khan, a major fire accident burnt down the Palace, and claimed 62 lives. A woman called Hilary Blume decided to turn it into a hotel that gave all the profits to charity. They give money to a variety of charities like the Rural Health and Literacy Program. All profits are distributed to charitable and environmental projects in India. The hotel has been set up as a model of sustainable tourism, by the Charities Advisory Trust, a UK charity. They consciously don't use machinery like washers so that they can hire more people. The cleaners are all widows and the cafe inside is run by women who needed help that a French baker from Pondicherry taught to bake."
"Sapa Bakery ","I love the place. But I honestly don’t like the food so much. Some staff are not very nice either. Desserts are nice. Coffee is bad. ",non veg,"https://www.google.com/maps/place/SAPA+Sourdough+%26+Pastry/@12.3280716,76.6315719,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7b7072a7a465:0xc061f1181cd34baf!8m2!3d12.3280716!4d76.6315719!16s%2Fg%2F11fjw3wybj?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",Tea cake. Grilled cheese sandwich.,Afternoon,Food,,9 am – 8:30 pm and they are closed on Mondays.,
"Westend Coffee Company ",Love it here. Good vibe. Barely any crowd. Nice street. Lovely place.,Veg,"https://www.google.com/maps/place/Westend+Coffee+Company/@12.3341272,76.6254905,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7b9f8476c781:0xe4931eb5206085cc!8m2!3d12.334122!4d76.6280654!16s%2Fg%2F11vkcr3q4g?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=ff3521f8-6835-48b7-988b-2338b8b723ec",Coffee and smoothies. Salad bowls.,All day. Evening are the best.,"Coffee, Food",,8 am – 9 pm,
Books and Brews,"Lovely place to calmly read with people around also reading. It's a community library mixed with a café. You can come in and read books for free just by showing up. If you want to take books home, you need a membership.  They also have workshops sometimes. Check out their site: https://mailbooksandbrews.wixsite.com/booksandbrews",,"https://www.google.com/maps/place/Books+%26+Brews/@12.333573,76.6256225,17z/data=!4m6!3m5!1s0x3baf7be5c87ad425:0xca4caaf1d838a81c!8m2!3d12.3335678!4d76.6281974!16s%2Fg%2F11l2_z7bkh?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=2073cda2-6128-4142-a65d-0b81f5e2eb76",,,Around the city,,"11 am – 7 pm. They are closed on Mondays and Tuesdays. ",
Mysore Old Book House,My fav book store here. They are all second hand. It’s like a mini blossoms. The owner uncle is super sweet and will help you with titles and all. He was able to find me the batman trilogy scripts and i am a regular here ever since.,,"https://www.google.com/maps/place/Mysore+old+book+stall/@12.3091428,76.5710359,13z/data=!4m7!3m6!1s0x3baf717ea12e7e7b:0x8a10ecad0fe5fc66!8m2!3d12.3091428!4d76.6472536!15sChFNeXNvcmUgYm9vayBob3VzZVoTIhFteXNvcmUgYm9vayBob3VzZZIBCmJvb2tfc3RvcmWqAUkKDS9nLzExZm5wNzFiancQATIfEAEiG4tmsDw3rtSPy5Fr3Ztir98P22fVl2HmCB1JqTIVEAIiEW15c29yZSBib29rIGhvdXNl4AEA!16s%2Fg%2F11j7hm6zxj?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=5fff23d0-d506-40aa-a51e-2f950eec23be",,Anytime.,Shopping,,10:30 am – 8 pm,
Green Day Salads,,non veg,"https://www.google.com/maps/place/Greendays+Salads/@12.3313139,76.6258205,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf71164e976975:0x5101f76582a25e57!8m2!3d12.3313087!4d76.6283954!16s%2Fg%2F11pxx7dw19?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=c868bb02-bb22-4127-bbe3-c1bfd3e3ec34",,The chicken salads are nice. Balanced lunch.,Food,,12:30 pm – 9 pm,
"She Fashion Jewellery ","If you know me, you know I love jewellery and have been told I have good taste. Most of them are from here. It’s very reasonable priced and anti-tarnish. They have everything from, everyday jewellery and accessories to wedding jewellery. This over Khushal’s anyday. It’s on this long shopping street, which I personally like to walk around and window shop with my mom. It’s like a less crowded and cleaner brigade road. ",,"https://www.google.com/maps/place/She+creation/@12.3089285,76.573584,13z/data=!4m7!3m6!1s0x3baf719874b755a3:0xbc646bbe8afb1169!8m2!3d12.3089285!4d76.6498017!15sChVzaGUgZmFzaGlvbiBqZXdlbGxlcnlaFyIVc2hlIGZhc2hpb24gamV3ZWxsZXJ5kgENamV3ZWxyeV9zdG9yZaoBUgoIL20vMDMydGwKCC9tLzA0MDRkEAEyHxABIhv2xAJ0xwIMUeWRp8qecpA-ultws44gv1cbo2EyGRACIhVzaGUgZmFzaGlvbiBqZXdlbGxlcnngAQA!16s%2Fg%2F11ptqph46_?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=df768547-7913-4188-8e63-49de4b2ced38",,"Anytime. Have never really found a crowd here. Evening I prefer though. But its on this long shopping street, which I personally like to walk around and window shop with my mom. It’s like a less crowded and cleaner brigade road.",Shopping,,10:30 am – 9 pm,
"Yashsvi Silks ","The staff knows there stuff. They have a variety of materials and have a good catalogue. They have everything but pure Mysore silk. ",,"https://www.google.com/maps/place/Yashaswi/@12.3088778,76.6481371,17z/data=!3m1!5s0x3baf700dc6065a83:0xa4a7d9b2e6afae40!4m6!3m5!1s0x3baf700c75fb231f:0x6b7db842bcaf3688!8m2!3d12.3088726!4d76.650712!16s%2Fg%2F1tdfg3_l?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=bba68962-b47a-4bc1-8435-453aa3f36478",,Earlier the better or a weekday for a less crowded shopping experience.,Shopping,,10:30 am – 8:30 pm,
Mysore Silk Factory and Showroom,"You can ask for a tour of ho they weave the sareers. Best place to buy souvieners for your mum. They are one of a kind and quiet expensive. 15k - 55k. There are also ties and scrafs which are much cheaper. 
",,"https://www.google.com/maps/place/KSIC+Silk+Weaving+Factory/@12.2863781,76.6245777,15z/data=!3m1!5s0x3baf6fff2247cd77:0xe91b0cb35032b9c3!4m7!3m6!1s0x3baf6ffe609e8d5b:0x4d258759219b905!8m2!3d12.2863781!4d76.6436983!15sCiRteXNvcmUgc2lsayBmYWN0b3J5IG91dGxldCBpbiBteXNvcmVaJiIkbXlzb3JlIHNpbGsgZmFjdG9yeSBvdXRsZXQgaW4gbXlzb3JlkgEKc2lsa19zdG9yZeABAA!16s%2Fg%2F1tfkp5qm?entry=tts&g_ep=EgoyMDI1MTEyMy4xIPu8ASoASAFQAw%3D%3D&skid=f9c62ed3-3e4c-4b66-8d9e-2f6b5239e9eb",,Mornings,Shopping,,"10:30 am–6:30 pm ",
Cauvery Handicraft,"Good place to buy souvenirs and sareers for you mum’s and aunts. ",,"https://www.google.com/maps/place/Mysuru+Silk+Udyog+and+Cauvery+Handicraft/@12.3047085,76.6669366,18.53z/data=!4m6!3m5!1s0x3baf7138a43743bf:0x78f70489af81ee09!8m2!3d12.3045262!4d76.6661595!16s%2Fg%2F11l6xnnktx?entry=tts&g_ep=EgoyMDI1MTExNy4wIPu8ASoASAFQAw%3D%3D&skid=6af75788-ff0a-40fa-b7fd-6b9307a64352",,"Any time. ",Shopping,,9 am–9 pm,
Depth and Green,"Really refreshing drinks. ",Veg,"https://www.google.com/maps/place/Depth+N+Green/@12.3307404,76.6261153,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7a88923804bd:0x31aa16285df12f90!8m2!3d12.3307352!4d76.6286902!16s%2Fg%2F11b69x2wqc?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=5e620bb3-6f39-4334-9e1e-f644e7c408df",,Lunch,Food,,9 am–9 pm,
Sri Raghavendra Bakery,Love it hear. My whole family enjoys it.,Veg,"https://www.google.com/maps/place/Sri+Raghavendra+Bakery/@12.309527,76.6465544,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf700c75fb231f:0x3ab79f6f84c8d189!8m2!3d12.309527!4d76.6465544!16s%2Fg%2F1tdnzxpp?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D","Capsicum puff, plum cake, kaara biscuit, kaddi biscuit, kaara bun.",I like stopping here for a snack when shopping with my mom on the street.,Food,,7 am – 9 pm,
Big Cup,Good pace to work.,non veg,"https://www.google.com/maps/place/Big+Cup+Cafe+Mysuru/@12.3253079,76.6253591,21z/data=!4m7!3m6!1s0x3baf7ba7ace039f7:0x27a32e5e34dd3ba6!8m2!3d12.3254416!4d76.6255375!15sCgdiaWcgY3VwWgkiB2JpZyBjdXCSAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11sys_6bwg?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=6b963830-c592-49fd-8c70-f3c3e8b6f3d8",,,"Coffee, Food",,"8 am–11 pm ",
"Chakra House Cafe ","Super healthy almost home made food. Very clean. ",Veg,"https://www.google.com/maps/place/Chakra+House+Cafe/@12.3312391,76.6290713,17z/data=!4m6!3m5!1s0x3baf7a7d6095b8e1:0xb7d5233207b73495!8m2!3d12.331349!4d76.6290218!16s%2Fg%2F1ttdlfg8?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,,Food,,7:30 am–8 pm,
"Naviluna ","My fav place to work from. It has beautiful stained glass windows, vintage appliances, and the window table makes is perfect and warm. I personally love the food. It healthy and tasty. Get a bar of chocolate to take back too. My favourites are  takoi coffee and pineapple, pepper lime and orange, and smoke salt and almond. They also have Ramavilas Garden Club - they host the best parties and sundowners. ",Veg,"https://www.google.com/maps/place/Naviluna+Artisan+Chocolate/@12.3059152,76.6454973,17z/data=!4m6!3m5!1s0x3baf7a3c3830b5d9:0x480e561da9754b1a!8m2!3d12.3059152!4d76.6480722!16s%2Fg%2F11b7hhjdcv?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=4473518b-31da-4b99-bd01-c2d4787ab3f5",Lemon drizzel cake.,"The afternoon gets a little hot here. So I suggest go early and stay till the afternoon. Or come hangout in the evening. ","Coffee, Food",,9 am–10 pm,
"Malgudi Coffee Shop ",The whole purpose of this cafe is to give employment to young under privileged women.,non veg,"https://www.google.com/maps/place/Malgudi+Coffee+Shop+%26+Bakery/@12.3222558,76.614962,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7aed4fb9a483:0x3d8aab99b7aff84a!8m2!3d12.3222506!4d76.6175369!16s%2Fg%2F11bwyp3btc?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=0b7548f8-7733-413d-85e2-aa3c9d412318",,Anytime.,Coffee,,8 am – 10 pm,"This cafe provides a livelihood to women from underprivileged backgrounds, training them in the art of baking and service.  Its completely run by women. They are trained by a French chef/baker from Pondicherry. The cafe exudes an old-world charm with its open-to-sky courtyard adorned with plants. It provides employment to these young women."
Ritual Coffee House,NIce place. Outdoor seating.,Veg,"https://www.google.com/maps/place/Ritual+Coffee+House/@12.3253281,76.6202394,17z/data=!4m6!3m5!1s0x3baf7bf487e62b99:0x5ee5f191a43063a0!8m2!3d12.3253281!4d76.6228143!16s%2Fg%2F11kb3k2_ff?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=499a672d-1e97-42bd-aa08-8c98bc8e6219",,Mornings.,Coffee,,10 am – 7 pm and they are closed on Tuesdays.,
"Vui Coffee Roasters ","Good cold brew and lattes. Really lovely staff. ",non veg,"https://www.google.com/maps/place/Vui+Coffee+Roasters/@12.3070006,76.6164024,17z/data=!4m6!3m5!1s0x3baf7b000c67c3a1:0x21a2e0bca9737a8f!8m2!3d12.3069842!4d76.6162337!16s%2Fg%2F11vz4d6bt2?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=ebb4a5c7-db62-4cbe-a299-85a196095a61",Cold brew. Nati chicken sandwich. Smoothie bowls. Lavender lemon grass tea.,,Coffee,,8:30 am–8:30 pm,
"Sahib’s Pizza ",My fav pizza spot in the city. It has very limited crub-style outside seating and I love it.,non veg,"https://www.google.com/maps/place/Sahib's+Brick+Oven+Pizza/@12.3241646,76.62543,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7b5d722886f7:0x62a140009b0b8cb9!8m2!3d12.3241646!4d76.62543!16s%2Fg%2F11jy9fcrfq?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",All the pizza’s are great. They are light and very enjoyable.,Evenings.,Food,,2–10:30 pm and they are closed on tuesdays.,
"Mysore Koffeeness ",Really good space. Very vintage Karnataka style architecture. They are beautiful pillar inside. NIce place to sit and chillor work.,Veg,"https://www.google.com/maps/place/Mysore+Koffeeness/@12.3058089,76.6475437,17z/data=!4m6!3m5!1s0x3baf711631909e1b:0x9bbe3a2a1d60735e!8m2!3d12.3057079!4d76.6474946!16s%2Fg%2F11md5k82sh?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=465c8777-583b-418b-a576-c1d907895e87",,Brunch or dinner.,Food,,8 am – 11 pm,
"Mahesh Prasad ",,Veg,"https://www.google.com/maps/place/Mahesh+Prasad+Veg+Restaurant/@12.2955952,76.6386831,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7000a893beef:0xe2a39794cd6e5126!8m2!3d12.29559!4d76.641258!16s%2Fg%2F11b6zjv_kt?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=29f6792a-2a45-4a50-9803-0dea0ed8f205",Masala Dosa and lunch meals.,Breakfast or lunch.,Food,,7:30 am – 10 pm,
"Little India ",Good place to buy souvenir from all over India. It’s like a curated space for all handicraft art items from all over India.,,"https://www.google.com/maps/place/LITTLE+INDIA+HOUSE+OF+HANDICRAFTS/@12.3313592,76.6283391,19z/data=!4m6!3m5!1s0x3baf7bee0f49671d:0xbdc768ef1fdd533d!8m2!3d12.3313592!4d76.6283391!16s%2Fg%2F11vkckg19q?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=02eb4a94-66ea-433d-a7a5-fd986fa57d13",,,Shopping,,10 am–8:30 pm,
"The Sorrento ",Lovely place for dinner.,Veg,"https://www.google.com/maps/place/The+Sorrento/@12.3246801,76.6289011,17z/data=!4m6!3m5!1s0x3baf7b00420850e7:0x80d00a47688f2692!8m2!3d12.3247334!4d76.6289535!16s%2Fg%2F11wbkmry1f?entry=tts&g_ep=EgoyMDI1MTEwMi4wIPu8ASoASAFQAw%3D%3D&skid=69ee2353-da8a-4d90-9cdf-5afd8674b452",The sandwiches and desserts.,Dinner,Food,,12:30 pm – 11 pm,
